Origin,Destination,Latitude_OR,Longitude_OR,Latitude_DEST,Longitude_DEST
ABQ,PHX,35.040199,-106.609001,33.43429947,-112.012001
ATL,OAK,33.6367,-84.428101,37.721298,-122.221001
AUS,EWR,30.19449997,-97.66989899,40.69250107,-74.16870117
AUS,PHX,30.19449997,-97.66989899,33.43429947,-112.012001
BDL,DEN,41.93889999,-72.68319702,39.86169815,-104.6729965
BDL,MCO,41.93889999,-72.68319702,28.42939949,-81.30899811
BNA,BOS,36.12450027,-86.67819977,42.36429977,-71.00520325
BNA,DCA,36.12450027,-86.67819977,38.8521,-77.037697
BNA,DEN,36.12450027,-86.67819977,39.86169815,-104.6729965
BNA,LAS,36.12450027,-86.67819977,36.08010101,-115.1520004
BNA,LGA,36.12450027,-86.67819977,40.77719879,-73.87259674
BNA,MCO,36.12450027,-86.67819977,28.42939949,-81.30899811
BOS,AUS,42.36429977,-71.00520325,30.19449997,-97.66989899
BOS,BNA,42.36429977,-71.00520325,36.12450027,-86.67819977
BUR,DEN,34.20069885,-118.3590012,39.86169815,-104.6729965
BUR,PHX,34.20069885,-118.3590012,33.43429947,-112.012001
BUR,SFO,34.20069885,-118.3590012,37.61899948,-122.375
CLE,MCO,41.4117012,-81.84980011,28.42939949,-81.30899811
CLE,PHX,41.4117012,-81.84980011,33.43429947,-112.012001
CMH,LAS,39.998001,-82.891899,36.08010101,-115.1520004
CMH,MCO,39.998001,-82.891899,28.42939949,-81.30899811
DCA,BNA,38.8521,-77.037697,36.12450027,-86.67819977
DCA,MCI,38.8521,-77.037697,39.2976,-94.713898
DCA,MSY,38.8521,-77.037697,29.99340057,-90.25800323
DCA,TPA,38.8521,-77.037697,27.97550011,-82.53320313
DEN,ABQ,39.86169815,-104.6729965,35.040199,-106.609001
DEN,BUR,39.86169815,-104.6729965,34.20069885,-118.3590012
DEN,BWI,39.86169815,-104.6729965,39.1754,-76.668297
DEN,CVG,39.86169815,-104.6729965,39.04880142,-84.6678009
DEN,ELP,39.86169815,-104.6729965,31.80719948,-106.3779984
DEN,JAX,39.86169815,-104.6729965,30.49410057,-81.68789673
DEN,MCI,39.86169815,-104.6729965,39.2976,-94.713898
DEN,MEM,39.86169815,-104.6729965,35.04240036,-89.97669983
DEN,OKC,39.86169815,-104.6729965,35.39310074,-97.60070038
DEN,ORF,39.86169815,-104.6729965,36.89459991,-76.20120239
DEN,PHX,39.86169815,-104.6729965,33.43429947,-112.012001
DEN,RNO,39.86169815,-104.6729965,39.49909973,-119.7679977
DEN,RSW,39.86169815,-104.6729965,26.53619957,-81.75520325
DEN,SAT,39.86169815,-104.6729965,29.53370094,-98.46980286
DEN,SDF,39.86169815,-104.6729965,38.1744,-85.736
DEN,STL,39.86169815,-104.6729965,38.748697,-90.370003
DTW,MDW,42.21239853,-83.35340118,41.785999,-87.752403
ELP,DEN,31.80719948,-106.3779984,39.86169815,-104.6729965
EWR,IND,40.69250107,-74.16870117,39.7173,-86.294403
EWR,STL,40.69250107,-74.16870117,38.748697,-90.370003
FLL,LAS,26.072599,-80.152702,36.08010101,-115.1520004
FLL,RDU,26.072599,-80.152702,35.87760162,-78.78749847
GEG,DEN,47.61989975,-117.5339966,39.86169815,-104.6729965
IND,DEN,39.7173,-86.294403,39.86169815,-104.6729965
IND,EWR,39.7173,-86.294403,40.69250107,-74.16870117
IND,LGA,39.7173,-86.294403,40.77719879,-73.87259674
IND,PHX,39.7173,-86.294403,33.43429947,-112.012001
IND,RSW,39.7173,-86.294403,26.53619957,-81.75520325
LAS,BNA,36.08010101,-115.1520004,36.12450027,-86.67819977
LAS,CMH,36.08010101,-115.1520004,39.998001,-82.891899
LAS,MCI,36.08010101,-115.1520004,39.2976,-94.713898
LAS,MCO,36.08010101,-115.1520004,28.42939949,-81.30899811
LAS,OAK,36.08010101,-115.1520004,37.721298,-122.221001
LAS,PDX,36.08010101,-115.1520004,45.58869934,-122.5979996
LAS,PIT,36.08010101,-115.1520004,40.49150085,-80.23290253
LAS,RDU,36.08010101,-115.1520004,35.87760162,-78.78749847
LAS,SAN,36.08010101,-115.1520004,32.73360062,-117.1900024
