Airline,Origin,Destination,Total_Delay,Latitude_OR,Longitude_OR,Latitude_DEST,Longitude_DEST
AA,DCA,MCI,118,38.8521,-77.037697,39.2976,-94.713898
AA,PHL,XNA,84.6,39.87189865112305,-75.24109649658203,36.281898,-94.306801
AA,DCA,BDL,75.07,38.8521,-77.037697,41.9388999939,-72.68319702149999
AA,SDF,MIA,71.7,38.1744,-85.736,25.79319953918457,-80.29060363769531
AA,COS,ORD,66.91,38.805801,-104.700996,41.9786,-87.9048
AA,ORD,BUF,58.73,41.9786,-87.9048,42.94049835,-78.73220062
AA,DFW,LIH,55.06,32.896801,-97.038002,21.97599983215332,-159.33900451660156
AA,CHS,MIA,47.76,32.89860153,-80.04049683,25.79319953918457,-80.29060363769531
AA,ANC,DFW,46.35,61.174400329589844,-149.99600219726562,32.896801,-97.038002
AA,LIH,DFW,37.16,21.97599983215332,-159.33900451660156,32.896801,-97.038002
AA,JAC,ORD,36.73,43.6072998046875,-110.73799896240234,41.9786,-87.9048
AA,ONT,ORD,36.69,34.055999755859375,-117.60099792480469,41.9786,-87.9048
AA,VPS,CLT,35.15,30.4832,-86.525398,35.2140007019043,-80.94309997558594
AA,MIA,CHS,35.15,25.79319953918457,-80.29060363769531,32.89860153,-80.04049683
AA,ORD,EGE,34.39,41.9786,-87.9048,39.64260101,-106.9179993
AA,DFW,AGS,33.8,32.896801,-97.038002,33.36989974975586,-81.9645004272461
AA,JFK,EGE,33.05,40.63980103,-73.77890015,39.64260101,-106.9179993
AA,ORD,ONT,31.77,41.9786,-87.9048,34.055999755859375,-117.60099792480469
AA,DTW,LGA,30.99,42.212398529052734,-83.35340118408203,40.77719879,-73.87259674
AA,EGE,JFK,30.77,39.64260101,-106.9179993,40.63980103,-73.77890015
AA,TYS,CLT,29.77,35.81100082,-83.9940033,35.2140007019043,-80.94309997558594
AA,DFW,ANC,29.1,32.896801,-97.038002,61.174400329589844,-149.99600219726562
AA,MYR,DFW,28.86,33.6796989441,-78.9282989502,32.896801,-97.038002
AA,EGE,MIA,28.67,39.64260101,-106.9179993,25.79319953918457,-80.29060363769531
AA,STT,JFK,28.53,18.337299346923828,-64.97339630126953,40.63980103,-73.77890015
AA,CLT,XNA,28.28,35.2140007019043,-80.94309997558594,36.281898,-94.306801
AA,ORD,OMA,27.68,41.9786,-87.9048,41.3032,-95.894096
AA,ORD,JAC,27.4,41.9786,-87.9048,43.6072998046875,-110.73799896240234
AA,XNA,CLT,26.52,36.281898,-94.306801,35.2140007019043,-80.94309997558594
AA,LIT,DFW,26.48,34.729400634799994,-92.2242965698,32.896801,-97.038002
AA,EGE,LAX,26.06,39.64260101,-106.9179993,33.94250107,-118.4079971
AA,JFK,STT,25.86,40.63980103,-73.77890015,18.337299346923828,-64.97339630126953
AA,ORD,SYR,24.83,41.9786,-87.9048,43.11119842529297,-76.1063003540039
AA,MIA,TUL,24.71,25.79319953918457,-80.29060363769531,36.19839859008789,-95.88809967041016
AA,PDX,PHL,24.71,45.58869934,-122.5979996,39.87189865112305,-75.24109649658203
AA,DFW,GSO,24.26,32.896801,-97.038002,36.097801208496094,-79.93730163574219
AA,MIA,BUF,24.03,25.79319953918457,-80.29060363769531,42.94049835,-78.73220062
AA,XNA,PHL,23.4,36.281898,-94.306801,39.87189865112305,-75.24109649658203
AA,DFW,BUR,23.34,32.896801,-97.038002,34.20069885253906,-118.35900115966797
AA,AGS,DFW,22.68,33.36989974975586,-81.9645004272461,32.896801,-97.038002
AA,HDN,DFW,22.44,40.48120117,-107.2180023,32.896801,-97.038002
AA,ANC,PHX,22.43,61.174400329589844,-149.99600219726562,33.43429946899414,-112.01200103759766
AA,JFK,SJU,21.53,40.63980103,-73.77890015,18.4393997192,-66.0018005371
AA,JFK,DEN,21.39,40.63980103,-73.77890015,39.861698150635,-104.672996521
AA,DFW,EGE,21.31,32.896801,-97.038002,39.64260101,-106.9179993
AA,DFW,TYS,21.27,32.896801,-97.038002,35.81100082,-83.9940033
AA,DCA,PIT,21.21,38.8521,-77.037697,40.49150085,-80.23290253
AA,DFW,JAC,21.08,32.896801,-97.038002,43.6072998046875,-110.73799896240234
AA,MCO,LGA,20.87,28.429399490356445,-81.30899810791016,40.77719879,-73.87259674
AA,MIA,JFK,20.84,25.79319953918457,-80.29060363769531,40.63980103,-73.77890015
AA,ORD,DSM,20.83,41.9786,-87.9048,41.534000396728516,-93.66310119628906
AA,SDF,DFW,20.75,38.1744,-85.736,32.896801,-97.038002
AA,MIA,ORF,20.49,25.79319953918457,-80.29060363769531,36.89459991455078,-76.20120239257812
AA,ORD,BNA,20.33,41.9786,-87.9048,36.1245002746582,-86.6781997680664
AA,DFW,MAF,20.27,32.896801,-97.038002,31.9424991607666,-102.2020034790039
AA,BHM,SJC,20,33.56290054,-86.75350189,37.362598,-121.929001
AA,DCA,JFK,19.79,38.8521,-77.037697,40.63980103,-73.77890015
AA,ORD,EWR,19.62,41.9786,-87.9048,40.692501068115234,-74.168701171875
AA,JAC,DFW,19.57,43.6072998046875,-110.73799896240234,32.896801,-97.038002
AA,EGE,DFW,19.52,39.64260101,-106.9179993,32.896801,-97.038002
AA,MIA,JAX,19.25,25.79319953918457,-80.29060363769531,30.49410057067871,-81.68789672851562
AA,LAX,EGE,19.25,33.94250107,-118.4079971,39.64260101,-106.9179993
AA,MTJ,DFW,18.75,38.509799957300004,-107.893997192,32.896801,-97.038002
AA,ORD,BWI,18.69,41.9786,-87.9048,39.1754,-76.668297
AA,XNA,DFW,18.03,36.281898,-94.306801,32.896801,-97.038002
AA,BUF,ORD,17.97,42.94049835,-78.73220062,41.9786,-87.9048
AA,ORD,ELP,17.89,41.9786,-87.9048,31.80719948,-106.3779984
AA,DFW,KOA,17.82,32.896801,-97.038002,19.738783,-156.045603
AA,MIA,EWR,17.45,25.79319953918457,-80.29060363769531,40.692501068115234,-74.168701171875
AA,CLT,VPS,17.39,35.2140007019043,-80.94309997558594,30.4832,-86.525398
AA,PHL,PDX,17.33,39.87189865112305,-75.24109649658203,45.58869934,-122.5979996
AA,BZN,ORD,17.17,45.77750015,-111.1529999,41.9786,-87.9048
AA,ORD,SMF,17.03,41.9786,-87.9048,38.69540023803711,-121.59100341796875
AA,SDF,ORD,16.95,38.1744,-85.736,41.9786,-87.9048
AA,CLT,SJC,16.85,35.2140007019043,-80.94309997558594,37.362598,-121.929001
AA,EGE,ORD,16.78,39.64260101,-106.9179993,41.9786,-87.9048
AA,CLT,EWR,16.72,35.2140007019043,-80.94309997558594,40.692501068115234,-74.168701171875
AA,DFW,PNS,16.49,32.896801,-97.038002,30.473400115967,-87.186599731445
AA,DFW,LBB,16.28,32.896801,-97.038002,33.663601,-101.822998
AA,PHL,SJU,16.17,39.87189865112305,-75.24109649658203,18.4393997192,-66.0018005371
AA,ORD,RNO,16.09,41.9786,-87.9048,39.49909973144531,-119.76799774169922
AA,ORD,SAT,16.04,41.9786,-87.9048,29.533700942993164,-98.46980285644531
AA,PHL,SLC,15.98,39.87189865112305,-75.24109649658203,40.78839874267578,-111.97799682617188
AA,DFW,EWR,15.97,32.896801,-97.038002,40.692501068115234,-74.168701171875
AA,PHX,ANC,15.93,33.43429946899414,-112.01200103759766,61.174400329589844,-149.99600219726562
AA,DFW,ICT,15.91,32.896801,-97.038002,37.649899,-97.433098
AA,DFW,BUF,15.85,32.896801,-97.038002,42.94049835,-78.73220062
AA,OAK,DFW,15.82,37.721298,-122.221001,32.896801,-97.038002
AA,ORD,IND,15.78,41.9786,-87.9048,39.7173,-86.294403
AA,PHL,SEA,15.71,39.87189865112305,-75.24109649658203,47.449001,-122.308998
AA,CLT,TYS,15.67,35.2140007019043,-80.94309997558594,35.81100082,-83.9940033
AA,PHX,EWR,15.66,33.43429946899414,-112.01200103759766,40.692501068115234,-74.168701171875
AA,DFW,GRR,15.64,32.896801,-97.038002,42.88079834,-85.52279663
AA,PHL,SFO,15.62,39.87189865112305,-75.24109649658203,37.61899948120117,-122.375
AA,ORD,ABQ,15.59,41.9786,-87.9048,35.040199,-106.609001
AA,MSP,LGA,15.54,44.882,-93.221802,40.77719879,-73.87259674
AA,ORD,SFO,15.54,41.9786,-87.9048,37.61899948120117,-122.375
AA,PHL,BUF,15.51,39.87189865112305,-75.24109649658203,42.94049835,-78.73220062
AA,DFW,GUC,15.45,32.896801,-97.038002,38.53390121,-106.9329987
AA,ORD,JFK,15.43,41.9786,-87.9048,40.63980103,-73.77890015
AA,ORD,HNL,15.3,41.9786,-87.9048,21.32062,-157.924228
AA,DCA,RDU,15.28,38.8521,-77.037697,35.877601623535156,-78.7874984741211
AA,GSP,SJC,15.2,34.8956985474,-82.2189025879,37.362598,-121.929001
AA,DFW,HNL,15.14,32.896801,-97.038002,21.32062,-157.924228
AA,CLT,TUL,15.13,35.2140007019043,-80.94309997558594,36.19839859008789,-95.88809967041016
AA,CMH,ORD,15.08,39.998001,-82.891899,41.9786,-87.9048
AA,ORD,JAX,14.87,41.9786,-87.9048,30.49410057067871,-81.68789672851562
AA,ORD,MSY,14.77,41.9786,-87.9048,29.99340057373047,-90.25800323486328
AA,DFW,JAX,14.75,32.896801,-97.038002,30.49410057067871,-81.68789672851562
AA,ORD,IAH,14.74,41.9786,-87.9048,29.984399795532227,-95.34140014648438
AA,DFW,OGG,14.73,32.896801,-97.038002,20.8986,-156.429993
AA,LAX,SFO,14.64,33.94250107,-118.4079971,37.61899948120117,-122.375
AA,MIA,PHL,14.51,25.79319953918457,-80.29060363769531,39.87189865112305,-75.24109649658203
AA,DFW,SFO,14.49,32.896801,-97.038002,37.61899948120117,-122.375
AA,DFW,MIA,14.42,32.896801,-97.038002,25.79319953918457,-80.29060363769531
AA,MIA,BDL,14.41,25.79319953918457,-80.29060363769531,41.9388999939,-72.68319702149999
AA,ORD,STL,14.38,41.9786,-87.9048,38.748697,-90.370003
AA,ORD,PDX,14.34,41.9786,-87.9048,45.58869934,-122.5979996
AA,LBB,DFW,14.28,33.663601,-101.822998,32.896801,-97.038002
AA,OMA,ORD,14.03,41.3032,-95.894096,41.9786,-87.9048
AA,JFK,ORD,14,40.63980103,-73.77890015,41.9786,-87.9048
AA,ORD,DFW,13.97,41.9786,-87.9048,32.896801,-97.038002
AA,MIA,PVD,13.83,25.79319953918457,-80.29060363769531,41.732601,-71.420403
AA,RDU,LGA,13.79,35.877601623535156,-78.7874984741211,40.77719879,-73.87259674
AA,DFW,JFK,13.76,32.896801,-97.038002,40.63980103,-73.77890015
AA,ORD,PIT,13.74,41.9786,-87.9048,40.49150085,-80.23290253
AA,MAF,DFW,13.73,31.9424991607666,-102.2020034790039,32.896801,-97.038002
AA,RDU,PHX,13.66,35.877601623535156,-78.7874984741211,33.43429946899414,-112.01200103759766
AA,DFW,VPS,13.66,32.896801,-97.038002,30.4832,-86.525398
AA,ORD,TUS,13.65,41.9786,-87.9048,32.1161003112793,-110.94100189208984
AA,MIA,BNA,13.63,25.79319953918457,-80.29060363769531,36.1245002746582,-86.6781997680664
AA,ORD,BDL,13.62,41.9786,-87.9048,41.9388999939,-72.68319702149999
AA,JFK,SEA,13.62,40.63980103,-73.77890015,47.449001,-122.308998
AA,ORD,MCI,13.55,41.9786,-87.9048,39.2976,-94.713898
AA,MIA,SFO,13.47,25.79319953918457,-80.29060363769531,37.61899948120117,-122.375
AA,SFO,LAX,13.41,37.61899948120117,-122.375,33.94250107,-118.4079971
AA,BNA,LGA,13.4,36.1245002746582,-86.6781997680664,40.77719879,-73.87259674
AA,MIA,SEA,13.38,25.79319953918457,-80.29060363769531,47.449001,-122.308998
AA,LGA,EGE,13.37,40.77719879,-73.87259674,39.64260101,-106.9179993
AA,DFW,DSM,13.31,32.896801,-97.038002,41.534000396728516,-93.66310119628906
AA,DFW,LIT,13.28,32.896801,-97.038002,34.729400634799994,-92.2242965698
AA,DFW,SAV,13.25,32.896801,-97.038002,32.12760162,-81.20210266
AA,DFW,CVG,13.25,32.896801,-97.038002,39.0488014221,-84.6678009033
AA,MIA,SLC,13.16,25.79319953918457,-80.29060363769531,40.78839874267578,-111.97799682617188
AA,ORD,BZN,13.14,41.9786,-87.9048,45.77750015,-111.1529999
AA,MIA,AUS,13.12,25.79319953918457,-80.29060363769531,30.194499969482422,-97.6698989868164
AA,MIA,MSY,13.09,25.79319953918457,-80.29060363769531,29.99340057373047,-90.25800323486328
AA,ORD,SDF,13.06,41.9786,-87.9048,38.1744,-85.736
AA,LGA,DTW,13.03,40.77719879,-73.87259674,42.212398529052734,-83.35340118408203
AA,ORD,ORF,13.02,41.9786,-87.9048,36.89459991455078,-76.20120239257812
AA,BUR,DFW,12.98,34.20069885253906,-118.35900115966797,32.896801,-97.038002
AA,CLT,SFO,12.97,35.2140007019043,-80.94309997558594,37.61899948120117,-122.375
AA,MIA,STL,12.82,25.79319953918457,-80.29060363769531,38.748697,-90.370003
AA,MIA,SAT,12.8,25.79319953918457,-80.29060363769531,29.533700942993164,-98.46980285644531
AA,DFW,MEM,12.77,32.896801,-97.038002,35.04240036010742,-89.97669982910156
AA,CLT,SMF,12.67,35.2140007019043,-80.94309997558594,38.69540023803711,-121.59100341796875
AA,ORD,ATL,12.67,41.9786,-87.9048,33.6367,-84.428101
AA,ORD,TPA,12.64,41.9786,-87.9048,27.975500106811523,-82.533203125
AA,DFW,ORF,12.55,32.896801,-97.038002,36.89459991455078,-76.20120239257812
AA,DFW,IND,12.41,32.896801,-97.038002,39.7173,-86.294403
AA,DFW,SMF,12.38,32.896801,-97.038002,38.69540023803711,-121.59100341796875
AA,DFW,MCO,12.37,32.896801,-97.038002,28.429399490356445,-81.30899810791016
AA,DSM,ORD,12.34,41.534000396728516,-93.66310119628906,41.9786,-87.9048
AA,GUC,DFW,12.3,38.53390121,-106.9329987,32.896801,-97.038002
AA,ORD,RDU,12.28,41.9786,-87.9048,35.877601623535156,-78.7874984741211
AA,DFW,CHS,12.27,32.896801,-97.038002,32.89860153,-80.04049683
AA,DFW,CAE,12.23,32.896801,-97.038002,33.93880081176758,-81.11949920654297
AA,LAX,PIT,12.23,33.94250107,-118.4079971,40.49150085,-80.23290253
AA,DFW,SEA,12.21,32.896801,-97.038002,47.449001,-122.308998
AA,DFW,MFE,12.18,32.896801,-97.038002,26.17580032,-98.23860168
AA,PHX,SFO,12.13,33.43429946899414,-112.01200103759766,37.61899948120117,-122.375
AA,DFW,CLE,12.11,32.896801,-97.038002,41.4117012024,-81.8498001099
AA,JAX,DFW,12.07,30.49410057067871,-81.68789672851562,32.896801,-97.038002
AA,ORD,MIA,12.07,41.9786,-87.9048,25.79319953918457,-80.29060363769531
AA,RDU,ORD,11.99,35.877601623535156,-78.7874984741211,41.9786,-87.9048
AA,JFK,SAN,11.96,40.63980103,-73.77890015,32.7336006165,-117.190002441
AA,DFW,TUL,11.93,32.896801,-97.038002,36.19839859008789,-95.88809967041016
AA,JFK,AUS,11.92,40.63980103,-73.77890015,30.194499969482422,-97.6698989868164
AA,ORD,SLC,11.89,41.9786,-87.9048,40.78839874267578,-111.97799682617188
AA,PSP,PHX,11.87,33.8297004699707,-116.50700378417969,33.43429946899414,-112.01200103759766
AA,CLT,STT,11.87,35.2140007019043,-80.94309997558594,18.337299346923828,-64.97339630126953
AA,MIA,IAH,11.84,25.79319953918457,-80.29060363769531,29.984399795532227,-95.34140014648438
AA,ORD,MSP,11.82,41.9786,-87.9048,44.882,-93.221802
AA,DFW,GSP,11.8,32.896801,-97.038002,34.8956985474,-82.2189025879
