Airline,Origin,Destination,Total_Delay,Latitude_OR,Longitude_OR,Latitude_DEST,Longitude_DEST
DL,LGA,LEX,290.2,40.77719879,-73.87259674,38.0364990234375,-84.60590362548828
DL,CMH,LGA,131.3,39.998001,-82.891899,40.77719879,-73.87259674
DL,LGA,IND,119.6,40.77719879,-73.87259674,39.7173,-86.294403
DL,SMF,SEA,96.46,38.69540023803711,-121.59100341796875,47.449001,-122.308998
DL,JFK,RDU,81.7,40.63980103,-73.77890015,35.877601623535156,-78.7874984741211
DL,DTW,DAY,77.2,42.212398529052734,-83.35340118408203,39.902400970458984,-84.21939849853516
DL,RDU,JFK,75.05,35.877601623535156,-78.7874984741211,40.63980103,-73.77890015
DL,MCO,CMH,70.3,28.429399490356445,-81.30899810791016,39.998001,-82.891899
DL,JFK,CVG,68.6,40.63980103,-73.77890015,39.0488014221,-84.6678009033
DL,OKC,DTW,63.03,35.39310073852539,-97.60070037841797,42.212398529052734,-83.35340118408203
DL,MYR,LGA,61.41,33.6796989441,-78.9282989502,40.77719879,-73.87259674
DL,LAS,OAK,60.7,36.08010101,-115.1520004,37.721298,-122.221001
DL,LGA,PWM,58.72,40.77719879,-73.87259674,43.64619827,-70.30930328
DL,OAK,LAS,51.67,37.721298,-122.221001,36.08010101,-115.1520004
DL,IND,LGA,50.8,39.7173,-86.294403,40.77719879,-73.87259674
DL,SBN,LGA,50.24,41.70869827270508,-86.31729888916016,40.77719879,-73.87259674
DL,JAC,JFK,49.24,43.6072998046875,-110.73799896240234,40.63980103,-73.77890015
DL,CVG,ORD,45.8,39.0488014221,-84.6678009033,41.9786,-87.9048
DL,AUS,LAS,42.64,30.194499969482422,-97.6698989868164,36.08010101,-115.1520004
DL,JFK,DFW,42.62,40.63980103,-73.77890015,32.896801,-97.038002
DL,SJC,SEA,41.03,37.362598,-121.929001,47.449001,-122.308998
DL,IAH,LGA,40.01,29.984399795532227,-95.34140014648438,40.77719879,-73.87259674
DL,ORD,LGA,36.02,41.9786,-87.9048,40.77719879,-73.87259674
DL,LAS,MCO,35.82,36.08010101,-115.1520004,28.429399490356445,-81.30899810791016
DL,MDW,DTW,35.05,41.785999,-87.752403,42.212398529052734,-83.35340118408203
DL,JAC,LAX,33.3,43.6072998046875,-110.73799896240234,33.94250107,-118.4079971
DL,MIA,BOS,32.81,25.79319953918457,-80.29060363769531,42.36429977,-71.00520325
DL,BGR,JFK,31.86,44.80739974975586,-68.8281021118164,40.63980103,-73.77890015
DL,RDU,BDL,31.8,35.877601623535156,-78.7874984741211,41.9388999939,-72.68319702149999
DL,SYR,LGA,31.6,43.11119842529297,-76.1063003540039,40.77719879,-73.87259674
DL,DFW,LGA,31.4,32.896801,-97.038002,40.77719879,-73.87259674
DL,LGA,ORD,29.05,40.77719879,-73.87259674,41.9786,-87.9048
DL,PDX,LAS,28.47,45.58869934,-122.5979996,36.08010101,-115.1520004
DL,CLT,LGA,26.93,35.2140007019043,-80.94309997558594,40.77719879,-73.87259674
DL,LEX,DTW,26.8,38.0364990234375,-84.60590362548828,42.212398529052734,-83.35340118408203
DL,GEG,LAX,26.51,47.61989974975586,-117.53399658203125,33.94250107,-118.4079971
DL,GRR,LGA,26.5,42.88079834,-85.52279663,40.77719879,-73.87259674
DL,BOS,CHS,25.65,42.36429977,-71.00520325,32.89860153,-80.04049683
DL,LGA,IAH,24.4,40.77719879,-73.87259674,29.984399795532227,-95.34140014648438
DL,HDN,MSP,24.35,40.48120117,-107.2180023,44.882,-93.221802
DL,MCI,LGA,24.3,39.2976,-94.713898,40.77719879,-73.87259674
DL,SEA,SJC,24.15,47.449001,-122.308998,37.362598,-121.929001
DL,MSP,ATW,22.75,44.882,-93.221802,44.258098602299995,-88.5190963745
DL,BOS,AUS,22.6,42.36429977,-71.00520325,30.194499969482422,-97.6698989868164
DL,OGG,SLC,22.23,20.8986,-156.429993,40.78839874267578,-111.97799682617188
DL,PHL,JFK,22.13,39.87189865112305,-75.24109649658203,40.63980103,-73.77890015
DL,JFK,DCA,22.03,40.63980103,-73.77890015,38.8521,-77.037697
DL,LGA,DFW,21.65,40.77719879,-73.87259674,32.896801,-97.038002
DL,CVG,LGA,21.62,39.0488014221,-84.6678009033,40.77719879,-73.87259674
DL,LAX,MIA,21.59,33.94250107,-118.4079971,25.79319953918457,-80.29060363769531
