Airline,Origin,Destination,Total_Delay,Latitude_OR,Longitude_OR,Latitude_DEST,Longitude_DEST
UA,BHM,SFO,145,33.56290054,-86.75350189,37.61899948120117,-122.375
UA,AGS,ATL,134,33.36989974975586,-81.9645004272461,33.6367,-84.428101
UA,IAH,AGS,128.2,29.984399795532227,-95.34140014648438,33.36989974975586,-81.9645004272461
UA,OMA,EWR,117.12,41.3032,-95.894096,40.692501068115234,-74.168701171875
UA,MSP,PVD,85.2,44.882,-93.221802,41.732601,-71.420403
UA,EWR,BWI,76.2,40.692501068115234,-74.168701171875,39.1754,-76.668297
UA,BTR,DCA,73.73,30.533199,-91.149597,38.8521,-77.037697
UA,BTV,IAD,65.8,44.471900939899996,-73.15329742429999,38.94449997,-77.45580292
UA,MSP,PHL,62.2,44.882,-93.221802,39.87189865112305,-75.24109649658203
UA,AVL,EWR,56.73,35.43619918823242,-82.54180145263672,40.692501068115234,-74.168701171875
UA,MEM,EWR,51.16,35.04240036010742,-89.97669982910156,40.692501068115234,-74.168701171875
UA,PIT,EWR,47.99,40.49150085,-80.23290253,40.692501068115234,-74.168701171875
UA,FSD,ORD,47.26,43.582000732400004,-96.741897583,41.9786,-87.9048
UA,LAX,RNO,45.87,33.94250107,-118.4079971,39.49909973144531,-119.76799774169922
UA,BZN,EWR,45.59,45.77750015,-111.1529999,40.692501068115234,-74.168701171875
UA,EWR,ANC,45.06,40.692501068115234,-74.168701171875,61.174400329589844,-149.99600219726562
UA,IND,EWR,44.22,39.7173,-86.294403,40.692501068115234,-74.168701171875
UA,IAH,SDF,42.72,29.984399795532227,-95.34140014648438,38.1744,-85.736
UA,EGE,EWR,42.04,39.64260101,-106.9179993,40.692501068115234,-74.168701171875
UA,JAC,EWR,41.88,43.6072998046875,-110.73799896240234,40.692501068115234,-74.168701171875
UA,EWR,STL,39.26,40.692501068115234,-74.168701171875,38.748697,-90.370003
UA,MSN,BOS,37.8,43.13990020751953,-89.3375015258789,42.36429977,-71.00520325
UA,GSP,SFO,37,34.8956985474,-82.2189025879,37.61899948120117,-122.375
UA,SLC,EWR,36.94,40.78839874267578,-111.97799682617188,40.692501068115234,-74.168701171875
UA,IAH,RIC,36.5,29.984399795532227,-95.34140014648438,37.50519943237305,-77.3197021484375
UA,BOS,ATL,35.8,42.36429977,-71.00520325,33.6367,-84.428101
UA,EWR,CVG,35.69,40.692501068115234,-74.168701171875,39.0488014221,-84.6678009033
UA,SDF,EWR,35.37,38.1744,-85.736,40.692501068115234,-74.168701171875
UA,OKC,ORD,33.69,35.39310073852539,-97.60070037841797,41.9786,-87.9048
UA,EWR,MCI,33.31,40.692501068115234,-74.168701171875,39.2976,-94.713898
UA,ORD,TUL,31.73,41.9786,-87.9048,36.19839859008789,-95.88809967041016
UA,ORD,RNO,31.13,41.9786,-87.9048,39.49909973144531,-119.76799774169922
UA,SJC,LAS,31.1,37.362598,-121.929001,36.08010101,-115.1520004
UA,DEN,RDM,30.67,39.861698150635,-104.672996521,44.2541008,-121.1500015
UA,PNS,ORD,30.55,30.473400115967,-87.186599731445,41.9786,-87.9048
UA,CMH,SFO,29.8,39.998001,-82.891899,37.61899948120117,-122.375
UA,TVC,ORD,29.71,44.74140167236328,-85.58219909667969,41.9786,-87.9048
UA,EWR,SMF,29.45,40.692501068115234,-74.168701171875,38.69540023803711,-121.59100341796875
UA,MIA,SFO,29.25,25.79319953918457,-80.29060363769531,37.61899948120117,-122.375
UA,DTW,SFO,28.85,42.212398529052734,-83.35340118408203,37.61899948120117,-122.375
UA,JAX,EWR,28.85,30.49410057067871,-81.68789672851562,40.692501068115234,-74.168701171875
UA,EGE,IAD,28.65,39.64260101,-106.9179993,38.94449997,-77.45580292
UA,SFO,BHM,28.2,37.61899948120117,-122.375,33.56290054,-86.75350189
UA,TYS,EWR,28.13,35.81100082,-83.9940033,40.692501068115234,-74.168701171875
UA,LAX,MSY,28.01,33.94250107,-118.4079971,29.99340057373047,-90.25800323486328
UA,EWR,DCA,27.72,40.692501068115234,-74.168701171875,38.8521,-77.037697
UA,EGE,ORD,27.54,39.64260101,-106.9179993,41.9786,-87.9048
UA,COS,DEN,27.52,38.805801,-104.700996,39.861698150635,-104.672996521
UA,MSP,BOS,27.5,44.882,-93.221802,42.36429977,-71.00520325
UA,SDF,IAH,27.43,38.1744,-85.736,29.984399795532227,-95.34140014648438
UA,EWR,IND,27.36,40.692501068115234,-74.168701171875,39.7173,-86.294403
UA,HDN,EWR,27.06,40.48120117,-107.2180023,40.692501068115234,-74.168701171875
UA,EWR,PVD,26.88,40.692501068115234,-74.168701171875,41.732601,-71.420403
UA,SAV,IAD,26.67,32.12760162,-81.20210266,38.94449997,-77.45580292
UA,MSP,EWR,26.41,44.882,-93.221802,40.692501068115234,-74.168701171875
UA,EWR,BQN,26.08,40.692501068115234,-74.168701171875,18.49489974975586,-67.12940216064453
UA,LAS,PHX,25.9,36.08010101,-115.1520004,33.43429946899414,-112.01200103759766
UA,DEN,FAI,25.76,39.861698150635,-104.672996521,64.81510162,-147.8560028
UA,FAI,ORD,25.52,64.81510162,-147.8560028,41.9786,-87.9048
UA,ORD,DLH,25.39,41.9786,-87.9048,46.8420982361,-92.19360351559999
UA,EWR,PWM,25.31,40.692501068115234,-74.168701171875,43.64619827,-70.30930328
UA,EWR,CLT,25.22,40.692501068115234,-74.168701171875,35.2140007019043,-80.94309997558594
UA,LAS,SMF,25,36.08010101,-115.1520004,38.69540023803711,-121.59100341796875
UA,IAD,MCI,24.83,38.94449997,-77.45580292,39.2976,-94.713898
UA,BQN,EWR,24.32,18.49489974975586,-67.12940216064453,40.692501068115234,-74.168701171875
UA,ANC,IAH,24.02,61.174400329589844,-149.99600219726562,29.984399795532227,-95.34140014648438
UA,ORD,TVC,23.27,41.9786,-87.9048,44.74140167236328,-85.58219909667969
UA,IAD,MSP,23.25,38.94449997,-77.45580292,44.882,-93.221802
UA,BOS,MSP,23.2,42.36429977,-71.00520325,44.882,-93.221802
UA,IAD,PWM,23.16,38.94449997,-77.45580292,43.64619827,-70.30930328
UA,IAD,EWR,22.96,38.94449997,-77.45580292,40.692501068115234,-74.168701171875
UA,IAD,PHL,22.91,38.94449997,-77.45580292,39.87189865112305,-75.24109649658203
UA,EWR,BTV,22.81,40.692501068115234,-74.168701171875,44.471900939899996,-73.15329742429999
UA,MYR,ORD,22.48,33.6796989441,-78.9282989502,41.9786,-87.9048
UA,BGR,ORD,22.29,44.80739974975586,-68.8281021118164,41.9786,-87.9048
UA,AUS,EWR,21.86,30.194499969482422,-97.6698989868164,40.692501068115234,-74.168701171875
UA,EWR,MKE,21.84,40.692501068115234,-74.168701171875,42.947200775146484,-87.89659881591797
UA,DCA,EWR,21.76,38.8521,-77.037697,40.692501068115234,-74.168701171875
UA,ATL,EWR,21.72,33.6367,-84.428101,40.692501068115234,-74.168701171875
UA,CLT,EWR,21.16,35.2140007019043,-80.94309997558594,40.692501068115234,-74.168701171875
UA,PBI,EWR,20.63,26.68320083618164,-80.09559631347656,40.692501068115234,-74.168701171875
UA,EWR,ROC,20.43,40.692501068115234,-74.168701171875,43.118900299072266,-77.67240142822266
UA,MSP,IAD,20.42,44.882,-93.221802,38.94449997,-77.45580292
UA,ORD,EWR,19.85,41.9786,-87.9048,40.692501068115234,-74.168701171875
