Airline,Origin,Destination,Total_Delay,Latitude_OR,Longitude_OR,Latitude_DEST,Longitude_DEST
WN,BOS,TPA,58.87,42.36429977,-71.00520325,27.975500106811523,-82.533203125
WN,TPA,ORF,58.8,27.975500106811523,-82.533203125,36.89459991455078,-76.20120239257812
WN,ECP,MCI,50.23,30.357106,-85.795414,39.2976,-94.713898
WN,LAS,JAX,48.8,36.08010101,-115.1520004,30.49410057067871,-81.68789672851562
WN,ECP,DEN,38.61,30.357106,-85.795414,39.861698150635,-104.672996521
WN,PHX,EWR,37.85,33.43429946899414,-112.01200103759766,40.692501068115234,-74.168701171875
WN,LGA,SAT,33.98,40.77719879,-73.87259674,29.533700942993164,-98.46980285644531
WN,OMA,BNA,32.85,41.3032,-95.894096,36.1245002746582,-86.6781997680664
WN,OMA,TPA,31.16,41.3032,-95.894096,27.975500106811523,-82.533203125
WN,SJU,EWR,30.92,18.4393997192,-66.0018005371,40.692501068115234,-74.168701171875
WN,ABQ,SAT,28.85,35.040199,-106.609001,29.533700942993164,-98.46980285644531
WN,TPA,BOS,28.8,27.975500106811523,-82.533203125,42.36429977,-71.00520325
WN,ROC,RSW,28.47,43.118900299072266,-77.67240142822266,26.53619956970215,-81.75520324707031
WN,SAN,EWR,28.28,32.7336006165,-117.190002441,40.692501068115234,-74.168701171875
WN,GSP,DAL,28.1,34.8956985474,-82.2189025879,32.847099,-96.851799
WN,HOU,SMF,28.08,29.64539909,-95.27890015,38.69540023803711,-121.59100341796875
WN,DAL,GSP,28.0,32.847099,-96.851799,34.8956985474,-82.2189025879
WN,DAL,MSP,27.68,32.847099,-96.851799,44.882,-93.221802
WN,OAK,EWR,26.12,37.721298,-122.221001,40.692501068115234,-74.168701171875
WN,EWR,SJU,26.12,40.692501068115234,-74.168701171875,18.4393997192,-66.0018005371
WN,BNA,EWR,26.07,36.1245002746582,-86.6781997680664,40.692501068115234,-74.168701171875
WN,FLL,BHM,25.53,26.072599,-80.152702,33.56290054,-86.75350189
WN,RSW,ROC,25.2,26.53619956970215,-81.75520324707031,43.118900299072266,-77.67240142822266
WN,OKC,FLL,23.87,35.39310073852539,-97.60070037841797,26.072599,-80.152702
WN,DEN,EWR,23.44,39.861698150635,-104.672996521,40.692501068115234,-74.168701171875
WN,PBI,DAL,23.44,26.68320083618164,-80.09559631347656,32.847099,-96.851799
WN,LAX,SFO,22.73,33.94250107,-118.4079971,37.61899948120117,-122.375
WN,ECP,MDW,22.28,30.357106,-85.795414,41.785999,-87.752403
WN,EWR,PHX,21.96,40.692501068115234,-74.168701171875,33.43429946899414,-112.01200103759766
WN,FLL,EWR,21.25,26.072599,-80.152702,40.692501068115234,-74.168701171875
